Sentiment,Word,Frequency
Positive,artificial,162
Positive,intelligence,162
Positive,concerns,105
Positive,ethical,105
Positive,use,105
Positive,work,105
Positive,advancements,94
Positive,ai,94
Positive,truly,94
Positive,fascinating,94
Negative,im,100
Negative,worried,100
Negative,job,100
Negative,loss,100
Negative,due,100
Negative,cant,83
Negative,believe,83
Negative,powerful,83
Negative,become,83
Negative,ai,67
Neutral,ai,176
Neutral,many,96
Neutral,companies,96
Neutral,adopting,96
Neutral,everywhere,96
Neutral,generative,93
Neutral,future,91
Neutral,exciting,91
Neutral,scary,91
Neutral,time,91
